#contig = contig id
#window_idx = genomic window index
#nanop_meth_frequency = mean methylation frequency from Nanopore data
#wgbs_meth_frequency = mean methylation frequency from WGBS data
#
contig	window_idx	nanop_meth_frequency	wgbs_meth_frequency
ctg1000_pilon	0.0	0.40801980855463343	0.4135495903526971
ctg1001_pilon	0.0	0.03324949047619048	0.027394909215396005
ctg1002_pilon	0.0	0.059304016508329	0.05568608037480479
ctg1003_pilon	0.0	0.0395225555815854	0.03674891146826478
ctg1004_pilon	0.0	0.18549277409494905	0.18955492794277043
ctg1005_pilon	0.0	0.048203935013204226	0.04458417629841549
ctg1006_pilon	0.0	0.06527142309398952	0.052849187053247274
ctg1007_pilon	0.0	0.06345927784990792	0.055822193669429095
ctg1008_pilon	0.0	0.04429824250060226	0.045245067405444477
ctg1009_pilon	0.0	0.3202964104662421	0.3261734591082803
ctg100_pilon	0.0	0.06595486099643823	0.061161103433034374
ctg1010_pilon	0.0	0.5767231890243902	0.5627219584914183
ctg1011_pilon	0.0	0.2460181009014675	0.242624029245283
ctg1012_pilon	0.0	0.05585819499773653	0.05171645909913988
ctg1013_pilon	0.0	0.10037653014583334	0.09994527759722222
ctg1014_pilon	0.0	0.11697583972491908	0.10042504908980582
ctg1015_pilon	0.0	0.03681554147638212	0.03924376288921838
ctg1016_pilon	0.0	0.2962719739239412	0.3059354777503395
ctg1017_pilon	0.0	0.12581975422587718	0.12612412601973685
ctg1018_pilon	0.0	0.18768518679250196	0.18766289458474356
ctg1019_pilon	0.0	0.2025818811070746	0.20886840453154876
ctg101_pilon	0.0	0.19798846967758327	0.19641559736246478
ctg101_pilon	1.0	0.22066390876897135	0.2244699677796515
ctg1020_pilon	0.0	0.1652880653134062	0.16733587387909882
ctg1021_pilon	0.0	0.041823535330073346	0.039531681924205385
ctg1022_pilon	0.0	0.7553314487446418	0.7913885987752602
ctg1023_pilon	0.0	0.027889557015590198	0.026149004596072077
ctg1024_pilon	0.0	0.027611626567339738	0.02675172524995099
ctg1025_pilon	0.0	0.14979311391426564	0.15486149381588193
ctg1026_pilon	0.0	0.508349519117647	0.512378002872777
ctg1027_pilon	0.0	0.13066807809757183	0.1326819173022945
ctg1028_pilon	0.0	0.2555124426780475	0.2648410264870632
ctg1029_pilon	0.0	0.22100418595196633	0.2281264780293136
ctg102_pilon	0.0	0.17676023763947607	0.17714936803659298
ctg1030_pilon	0.0	0.3711971325365999	0.3673837283238721
ctg1031_pilon	0.0	0.4799001860491071	0.47863229453124995
ctg1032_pilon	0.0	0.1099857952515015	0.11169137198948949
ctg1033_pilon	0.0	0.035846261156041864	0.031203028577545196
ctg1034_pilon	0.0	0.125913659944668	0.11893798221830987
ctg1035_pilon	0.0	0.08459992220507714	0.07823505653807865
ctg1036_pilon	0.0	0.25579917575980393	0.26486034218137255
ctg1037_pilon	0.0	0.21933529654421768	0.22187384611428573
ctg1038_pilon	0.0	0.10057295513787916	0.09074692890448734
ctg1039_pilon	0.0	0.44548620427954455	0.4444640716921869
ctg103_pilon	0.0	0.19293065354725006	0.19399448741677391
ctg1040_pilon	0.0	0.16087714634280303	0.15299063700757576
ctg1041_pilon	0.0	0.23561800082364037	0.2380083180855077
ctg1042_pilon	0.0	0.5064094225460931	0.5185277555750659
ctg1043_pilon	0.0	0.20630929296947273	0.20710454995374653
ctg1044_pilon	0.0	0.10853293266281618	0.10527269044015135
ctg1045_pilon	0.0	0.20250233543643265	0.20741422274667934
ctg1046_pilon	0.0	0.24753618292149573	0.24721927577082875
ctg1047_pilon	0.0	0.12509078133396406	0.119895869512772
ctg1048_pilon	0.0	0.3963588974108659	0.40704556061120545
ctg1049_pilon	0.0	0.23102997357198748	0.236634791314554
ctg104_pilon	0.0	0.4065316559382423	0.4133932713974664
ctg1050_pilon	0.0	0.053844893008304306	0.058617897133672645
ctg1051_pilon	0.0	0.4136634754374159	0.42499390706594886
ctg1052_pilon	0.0	0.6714481500797448	0.6696397454545454
ctg1053_pilon	0.0	0.48547611258524487	0.502176790266584
ctg1054_pilon	0.0	0.31367611850108396	0.3210969136265097
ctg1055_pilon	0.0	0.4083518926505313	0.41797478521251474
ctg1056_pilon	0.0	0.5794505936598728	0.5883892671049749
ctg1057_pilon	0.0	0.6252096266567558	0.6400914455269244
ctg1058_pilon	0.0	0.3989495319884726	0.4105540524135447
ctg1059_pilon	0.0	0.09326400127360471	0.08863846063785145
ctg105_pilon	0.0	0.12464101005514475	0.12387650846158665
ctg1060_pilon	0.0	0.4157352097307977	0.4281214120523586
ctg1061_pilon	0.0	0.18802241100223427	0.18614684206830515
ctg1062_pilon	0.0	0.46226394285714284	0.47893840164547496
ctg1063_pilon	0.0	0.0790576834435522	0.08010288071563534
ctg1064_pilon	0.0	0.05102120183551847	0.04727528961064759
ctg1065_pilon	0.0	0.22345414657849005	0.22761805938984359
ctg1066_pilon	0.0	0.19421482982553528	0.19352573831284695
ctg1067_pilon	0.0	0.37546867959240643	0.3868610087102178
ctg1068_pilon	0.0	0.15329846055688418	0.15336016276050563
ctg1069_pilon	0.0	0.1494477265279008	0.1478999026129318
